no,Accuracy,Precision,Recall,F1,Feature
0,0.938470611362296,0.9280575539568344,0.8582834331337326,0.8918078119599032,
1,0.9531649302142716,0.9450501710432896,0.8930352273821741,0.9182061251905224,
2,0.9600288316624074,0.9516034055117236,0.9106151903993824,0.930520304973311,
3,0.965352860231964,0.9587554371088864,0.9219796956281558,0.9398882071666408,
4,0.9686259091802636,0.9607543496871092,0.9314626653514934,0.9457249987230034,
5,0.97190551077911,0.9646125281597808,0.9389476731506482,0.9514580991251352,
6,0.9744446628661292,0.9674722820244066,0.9448655181515584,0.9558922396568504,
7,0.9767544721839984,0.9700001689529322,0.9503014215606502,0.9599087037117202,
8,0.9783325688574362,0.972285971355094,0.9534578467395032,0.9626527463009432,
9,0.9799685472773736,0.9744547629038834,0.9569140587377656,0.9654862700687126,
std_dev,0.013036978253609551,0.014331791181959153,0.031231439259991816,0.023133901250963988,-
