no,Accuracy,Precision,Recall,F1,Feature
0,0.986532144533083,0.9905715283436154,0.9763653051858652,0.9834171144623562,
1,0.9905911461789728,0.9924696722177848,0.984453877925654,0.9884357046817982,
2,0.9920224409533523,0.993673345359407,0.9867676304115038,0.9902012665601424,
3,0.9933832955890112,0.9945946966631014,0.9891865534648924,0.9918761565316768,
4,0.9942092174191208,0.9952848179260888,0.9905231757687012,0.9928921846292352,
5,0.9949005981034637,0.9957836881485248,0.9917202080465044,0.99374209089027,
6,0.9954078599819592,0.996238252146418,0.9925096702288077,0.9943654063945324,
7,0.995817627636732,0.9965649244636694,0.9931878155117028,0.9948688582352524,
8,0.9961050584467912,0.9969082324268836,0.9935495385242976,0.995221921332329,
9,0.9964335455159044,0.9971485623683604,0.994114272602111,0.9956251494274247,
std_dev,0.003092302561370072,0.0021295621021718406,0.005489229547339084,0.003811649487531835,-
