no,Accuracy,Precision,Recall,F1,Feature
0,0.998205312275664,0.9972972972972972,0.9892761394101875,0.993270524899058,
1,0.9983847810480976,0.9986486486486488,0.989290476122206,0.9939470904065182,
2,0.998205312275664,0.9973021539059276,0.9892856972182,0.9932765548946682,
std_dev,0.0001036163440756,0.0007788048700437,7.299896449055806e-06,0.000388886255732,-
std_dev,0.4991,0.4985,0.4946,0.4966,-
