no,Accuracy,Precision,Recall,F1,Feature
0,0.9739089629282028,0.9821555187898842,0.9535337310692978,0.9676330189777622,
1,0.981581165025038,0.98554716831302,0.9691372189077558,0.9772341582385218,
2,0.9845141444293308,0.987857353037288,0.974070674621386,0.980885839893454,
3,0.9876347518763648,0.9899751625521744,0.9796351537402478,0.9847465276942988,
4,0.9894320624114624,0.99133645188082,0.9826984855438274,0.9869703962482272,
5,0.9909352784396992,0.9925888717222774,0.9851422670949976,0.9888262497008952,
6,0.992055940881544,0.9934835892439924,0.9870025568740576,0.9902093535417258,
7,0.9928553680939612,0.9940400834718516,0.9884121156493804,0.9911965912890732,
8,0.9935240792150712,0.994638454135402,0.9894574473509764,0.9920216494851086,
9,0.9941341284712824,0.9951516518807232,0.9904428636989444,0.9927735813922324,
std_dev,0.0064191129602869,0.0042994422158193,0.011574649034061,0.0079727110333204,-
std_dev,0.296,0.2974,0.2922,0.2948,-
