no,Accuracy,Precision,Recall,F1,Feature
0,0.9930214271672893,0.9880279348187564,0.9883566200931472,0.9881922501247298,
1,0.9948397876941222,0.992674831152264,0.9898521869184538,0.9912590089074916,
2,0.9951838018478472,0.9936672787391906,0.9900190006380288,0.9918377826783767,
3,0.995822685276194,0.9945004590543928,0.9913495250209508,0.9929208016216052,
4,0.9960290937684292,0.9953320909189,0.991216679231664,0.9932678370220672,
5,0.996445187078173,0.9957769645065894,0.9921813979731424,0.9939736830630316,
6,0.9967423965851328,0.9960948264345048,0.992870625123258,0.9944779775373735,
7,0.9970144485944564,0.9962507472165704,0.9936370049695396,0.994939635166482,
8,0.9972151235174628,0.996519281410658,0.9940482995308452,0.9952799716053,
9,0.99740515038333,0.9967341974773152,0.9944770802266792,0.9956021991077756,
std_dev,0.0013390704761379085,0.0026432209180097003,0.0020070399042233077,0.0022640177434721967,-
