no,Accuracy,Precision,Recall,F1,Feature
0,0.9844673862036604,0.9904082348812726,0.9714318494722348,0.9808282652765712,
1,0.9890894817357408,0.9917566341034724,0.9814708581918312,0.9865675371623412,
2,0.9907397733705188,0.9933482197063964,0.983937586048646,0.9886071708541724,
3,0.992327437846182,0.9940935231188658,0.9870927030748048,0.990566310800948,
4,0.9932800638386536,0.9946090701020716,0.9889169343735658,0.991741549903095,
5,0.9941106606104568,0.9950872137357532,0.9904772831574116,0.9927643447044016,
6,0.9947307707022393,0.9956085201184603,0.9914770864747916,0.993527400383546,
7,0.995225174516977,0.9960569035063188,0.992241280403855,0.9941355337808891,
8,0.9956514299580492,0.9964057282347276,0.9929376370404364,0.9946596177699109,
9,0.9960628226983184,0.996730739901332,0.993620927030748,0.9951649747561848,
std_dev,0.0036127341083963243,0.002062839499923525,0.0068588983100011155,0.004465173884639611,-
