no,Accuracy,Precision,Recall,F1,Feature
0,0.9931197169254964,0.9919571045576407,0.984697272122422,0.988313856427379,
1,0.9947906428150186,0.994472023989567,0.9878561235820096,0.9911529228732356,
2,0.9951838018478476,0.9948658918428164,0.988799181079512,0.9918230313457612,
3,0.995847257715746,0.9958150825397518,0.9901018816499004,0.992949995323864,
4,0.9960487517200708,0.9961835252018147,0.9904181653332268,0.9932922618580232,
5,0.9963960421990696,0.9964860486310432,0.9912941172563358,0.993882704194252,
6,0.9966441068269258,0.996844850427964,0.991777430797228,0.9943041472332989,
7,0.996830155297818,0.9968234091277952,0.9924308759076412,0.9946210198622424,
8,0.9970185440010484,0.996991240191792,0.9929022585875268,0.9949412302406436,
9,0.9972085708669156,0.9972254050318522,0.9933125318968274,0.995263865504102,
std_dev,0.0012528265312565499,0.001619347135488856,0.0026497960773336896,0.0021295861839001305,-
