no,Accuracy,Precision,Recall,F1,Feature
0,0.9996410624551328,0.997326203208556,1.0,0.998661311914324,
1,0.9996410624551328,0.9973297682709448,1.0,0.9986630992148388,
2,0.9995214166068438,0.9964420677361856,1.0,0.9982174672127448,
3,0.9996410624551328,0.9973315508021392,1.0,0.9986631004095584,
4,0.9997128499641064,0.9978652406417112,1.0,0.9989304803276468,
5,0.999760708303422,0.9982210338680928,1.0,0.9991087336063724,
6,0.9997948928315044,0.9984751718869366,1.0,0.9992360573768906,
7,0.9998205312275664,0.9986657754010696,1.0,0.9993315502047792,
8,0.9998404722022812,0.9988140225787284,1.0,0.9994058224042482,
9,0.9998564249820532,0.9989326203208556,1.0,0.9994652401638234,
std_dev,0.0001098407574071,0.0008171820150652,0.0,0.0004092619232986,-
std_dev,0.3014,0.3006,0.3015,0.3011,-
