no,Accuracy,Precision,Recall,F1,Feature
0,0.9932180066837036,0.9906448379552288,0.9863606121091152,0.9884980830138356,
1,0.9952329467269512,0.9939859672569328,0.9898525190329268,0.991914930136461,
2,0.9956752506388834,0.994544754503176,0.9907954473748012,0.9926664807162168,
3,0.9962404167485748,0.9954910642073754,0.9917654707224488,0.9936247146795196,
4,0.9964812266561824,0.996125113748765,0.9919486373896688,0.9940322375427484,
5,0.9968547277373696,0.9966041502720696,0.9927358999877856,0.9946659339731686,
6,0.9971074728299024,0.9968513350480878,0.9933459125643808,0.9950950539248808,
7,0.9973707489679576,0.9971616126022652,0.9939280894672108,0.9955416720177706,
8,0.9975209138763296,0.9973658408192932,0.9942331150849222,0.9957965015030752,
9,0.9977295065854138,0.9975959567040638,0.9947099699657812,0.9961502734566292,
std_dev,0.001361606650099,0.0021255320448746,0.0025014160272841,0.0023094864430303,-
std_dev,0.3,0.2996,0.2983,0.299,-
