no,Accuracy,Precision,Recall,F1,Feature
0,0.998205312275664,0.9972972972972972,0.9892761394101875,0.993270524899058,
1,0.9987437185929648,0.9986486486486488,0.99196427291365,0.9952947798758024,
2,0.998444603972242,0.9973021539059276,0.991068228412496,0.9941750145408575,
3,0.998653984206748,0.9966468281954032,0.993301171309372,0.9949645942389764,
4,0.9988513998564248,0.9967827031980336,0.9946409370474976,0.995703937774046,
5,0.9986838956688202,0.9973189193316948,0.992860317414804,0.9950722392501596,
6,0.9987180801969028,0.9969379889153258,0.9934972770487672,0.9952024816062756,
7,0.9988334529791816,0.99732074030091,0.993975892818741,0.9956348353947816,
8,0.9989231873653984,0.9976184358230312,0.9943473530447194,0.9959707112532288,
9,0.9989949748743718,0.9975899255740616,0.9949126177402474,0.9962401287794412,
std_dev,0.0002337699954314,0.0005586587640876,0.0017684013651861,0.0008788208928051,-
std_dev,0.3011,0.3005,0.2989,0.2998,-
