no,Accuracy,Precision,Recall,F1,Feature
0,0.9528209160605464,0.9579405366207396,0.8789088489687292,0.9167244968771686,
1,0.96461568704541,0.9670860106458848,0.9110018454494228,0.9380508063261944,
2,0.97021820326322,0.9715749112255404,0.9260305050833808,0.9480891176417512,
3,0.9748132494594064,0.9757241033245286,0.9377841100937336,0.9562043298476784,
4,0.9777275407902496,0.9776972451261108,0.9459026041095844,0.9613574538614482,
5,0.980473101369504,0.9800236277252526,0.9530330907790632,0.9661592624316158,
6,0.9824622988570304,0.9816397125158708,0.9582694052509828,0.9696380921439344,
7,0.984138490269314,0.9831022476188862,0.9625705881636616,0.9725594957391248,
8,0.9854312736168448,0.9844965222505784,0.96562051837657,0.974811480227012,
9,0.9867112246903872,0.985846803336624,0.9686591320963174,0.9770305320710662,
std_dev,0.0107307662964735,0.0087755748394764,0.028465742436724,0.019070354010918,-
std_dev,0.2912,0.2919,0.2764,0.2837,-
